specimenID,Place,Member,Order,Family,Subfamily,Tribe,Genus,Species,HYP,LOP,MidMemberAge,TurkanaTimeBin,EastWest,ComLoc,unique_species_used,meanHYP,meanLOP,MAPreg,MATreg,MAPknn,MATknn
KNM-ER-912,8,Lokochot,Artiodactyla,Bovidae,NA,Tragelaphini,Tragelaphus,NA,2,2,3.52,3.6,E,Lokochot,0,2.03,1.12,949,24.2,1277,22.7
KNM-ER-2008,102,Lokochot,Carnivora,Hyaenidae,NA,NA,Crocuta,ultra,NA,NA,3.52,3.6,E,Lokochot,0,2.03,1.12,949,24.2,1277,22.7
KNM-ER-3743,116,Lokochot,Carnivora,Felidae,Machairodontinae,NA,NA,NA,NA,NA,3.52,3.6,E,Lokochot,0,2.03,1.12,949,24.2,1277,22.7
KNM-ER-3755,116,Lokochot,Carnivora,Canidae,NA,NA,Lupulella,NA,NA,NA,3.52,3.6,E,Lokochot,0,2.03,1.12,949,24.2,1277,22.7
KNM-ER-3838,116,Lokochot,Primates,Cercopithecidae,Colobinae,Colobini,Cercopithecoides,kimeui,1,0,3.52,3.6,E,Lokochot,1,2.03,1.12,949,24.2,1277,22.7
KNM-ER-3903,116,Lokochot,Artiodactyla,Giraffidae,NA,Sivatheriini,Sivatherium,maurusium,2,2,3.52,3.6,E,Lokochot,1,2.03,1.12,949,24.2,1277,22.7
KNM-ER-4762,116,Lokochot,Artiodactyla,Bovidae,NA,Aepycerotini,Aepyceros,shungurae,3,2,3.52,3.6,E,Lokochot,1,2.03,1.12,949,24.2,1277,22.7
KNM-ER-4819,116,Lokochot,Artiodactyla,Bovidae,NA,Reduncini,Kobus,oricornus,3,2,3.52,3.6,E,Lokochot,1,2.03,1.12,949,24.2,1277,22.7
KNM-ER-4879,116,Lokochot,Artiodactyla,Bovidae,NA,Tragelaphini,Tragelaphus,rastafari,2,2,3.52,3.6,E,Lokochot,1,2.03,1.12,949,24.2,1277,22.7
KNM-ER-5217,116,Lokochot,Artiodactyla,Bovidae,NA,Tragelaphini,Tragelaphus,rastafari,2,2,3.52,3.6,E,Lokochot,0,2.03,1.12,949,24.2,1277,22.7
KNM-ER-1488,117,Lokochot,Artiodactyla,Giraffidae,NA,Giraffini,Giraffa,stillei,1,2,3.52,3.6,E,Lokochot,1,2.03,1.12,949,24.2,1277,22.7
KNM-ER-1489,117,Lokochot,Artiodactyla,Giraffidae,NA,Giraffini,Giraffa,pygmaea,1,2,3.52,3.6,E,Lokochot,1,2.03,1.12,949,24.2,1277,22.7
