id_site,no_spec,lon,lat,MAT,MAP,HYP,LOP
179932,3,25.61,14.09,25.3,248,1.667,0.667
92492,14,25.78,-5.55,25.3,1245,1.714,1
184609,13,17.93,11.39,28.6,756,2.231,1.077
72875,16,37.68,-16.78,25.1,1340,2.125,1.312
194893,12,6.37,5.55,26.8,2359,1.417,0.833
96511,27,35.5,-3.31,16.5,983,2.185,1.148
98878,19,19.09,-1.96,25.5,1886,1.526,1
183864,14,36.61,11.84,23.7,1339,2.071,1.143
91689,15,23.68,-6,25.8,1483,1.6,1.067
186141,15,-1.38,10.49,28.4,1011,2.267,1.333
198960,16,37.75,3.31,22.4,528,2.062,1.562
189406,8,44.46,8.7,23.2,331,2.125,1.5
194125,20,20.07,6,23.5,1457,2.05,1.3
180655,7,-0.2,13.64,28.6,510,1.714,0.857
90112,27,31.28,-6.9,26,957,2.222,1.296
93298,17,29.24,-5.1,23.9,1061,1.824,1.176
194916,19,16.75,5.55,24,1458,1.895,1.158
185394,13,17.17,10.94,28.5,833,2.231,1.077
63769,10,21.29,-22.17,20.6,386,2.6,1.7
177563,5,5.92,15.43,28.2,273,1.8,0.8
190992,8,43.5,7.8,25.5,353,1.875,1.5
190164,13,28.32,8.25,27.7,964,2.231,1.231
75137,14,14.31,-15.43,20.2,781,2.214,1.143
94870,19,17.26,-4.21,25,1559,1.474,0.737
79073,19,37.75,-13.19,23.4,1117,2.158,1.211
66015,17,24.72,-20.82,21.8,356,2.235,1.471
74388,24,25.01,-15.88,20.8,850,2.375,1.458
72855,19,28.3,-16.78,25.1,716,2.263,1.316
189317,17,4.02,8.7,25.9,1191,2,1.176
175244,3,2.49,16.78,29.5,185,2.333,1.333
186149,16,2.26,10.49,27,1082,2.25,1.25
96473,18,18.4,-3.31,25.1,1617,1.333,0.706
188577,12,27.91,9.15,27.6,818,2.167,1.167
88492,20,18.11,-7.8,23.2,1444,1.55,0.7
71341,15,36.86,-17.68,25.6,1236,1.933,1.133
