HYP,LOP,HYPLOP,reg_MAP,reg_MAT,knn_MAP,knn_MAT
1.2,0,0,2831.2,29.0266666666667,2831.2,29.0266666666667
1.1,0,0,0,15.6466666666667,0,15.6466666666667
1,0,0,791.0072786468,26.7171396653394,1035.13333333333,24.8466666666667
1,0.01,0.01,805.141099779173,26.7051834888037,1035.13333333333,24.8466666666667
1,0.02,0.02,819.274920911546,26.6932273122681,1035.13333333333,24.8466666666667
1,0.03,0.03,833.40874204392,26.6812711357325,1035.13333333333,24.8466666666667
1,0.04,0.04,847.542563176293,26.6693149591968,1035.13333333333,24.8466666666667
1,0.05,0.05,861.676384308666,26.6573587826612,1035.13333333333,24.8466666666667
1,0.06,0.06,875.81020544104,26.6454026061255,1035.13333333333,24.8466666666667
1,0.07,0.07,889.944026573413,26.6334464295899,933.266666666667,24.8733333333333
1,0.08,0.08,904.077847705787,26.6214902530543,1006.86666666667,25.1466666666667
1,0.09,0.09,918.21166883816,26.6095340765186,1386.26666666667,23.24
1,0.1,0.1,932.345489970533,26.597577899983,1400.6,23.02
1,0.11,0.11,946.479311102907,26.5856217234473,1557.8,22.3066666666667
1,0.12,0.12,960.61313223528,26.5736655469117,1557.8,22.3066666666667
1,0.13,0.13,974.746953367653,26.561709370376,1561,22.02
1,0.14,0.14,988.880774500027,26.5497531938404,1561,22.02
1,0.15,0.15,1003.0145956324,26.5377970173048,1561,22.02
1,0.16,0.16,1017.14841676477,26.5258408407691,1561,22.02
1,0.17,0.17,1031.28223789715,26.5138846642335,1561,22.02
1,0.18,0.18,1045.41605902952,26.5019284876978,1561,22.02
1,0.19,0.19,1059.54988016189,26.4899723111622,1486.26666666667,21.92
1,0.2,0.2,1073.68370129427,26.4780161346265,1369.4,22.04
1,0.21,0.21,1087.81752242664,26.4660599580909,1013.93333333333,23.5066666666667
1,0.22,0.22,1101.95134355901,26.4541037815553,1013.93333333333,23.5066666666667
1,0.23,0.23,1116.08516469139,26.4421476050196,1013.93333333333,23.5066666666667
1,0.24,0.24,1130.21898582376,26.430191428484,1013.93333333333,23.5066666666667
1,0.25,0.25,1144.35280695613,26.4182352519483,990.066666666667,23.02
1,0.26,0.26,1158.48662808851,26.4062790754127,1032,22.7
1,0.27,0.27,1172.62044922088,26.394322898877,978.133333333333,22.98
1,0.28,0.28,1186.75427035325,26.3823667223414,978.133333333333,22.98
1,0.29,0.29,1200.88809148563,26.3704105458058,978.133333333333,22.98
1,0.3,0.3,1215.021912618,26.3584543692701,985.466666666667,22.6133333333333
1,0.31,0.31,1229.15573375037,26.3464981927345,985.466666666667,22.6133333333333
1,0.32,0.32,1243.28955488275,26.3345420161988,945.266666666667,22.9933333333333
1,0.33,0.33,1257.42337601512,26.3225858396632,945.266666666667,22.9933333333333
1,0.34,0.34,1271.55719714749,26.3106296631275,989.866666666667,23.1066666666667
1,0.35,0.35,1285.69101827987,26.2986734865919,1222.2,22.1066666666667
1,0.36,0.36,1299.82483941224,26.2867173100563,1452.93333333333,22.3933333333333
1,0.37,0.37,1313.95866054461,26.2747611335206,1493.6,22.7466666666667
1,0.38,0.38,1328.09248167699,26.262804956985,1493.6,22.7466666666667
1,0.39,0.39,1342.22630280936,26.2508487804493,1604.46666666667,22.6
1,0.4,0.4,1356.36012394173,26.2388926039137,1604.46666666667,22.6
1,0.41,0.41,1370.49394507411,26.2269364273781,1604.46666666667,22.6
1,0.42,0.42,1384.62776620648,26.2149802508424,1668.73333333333,22.7666666666667
1,0.43,0.43,1398.76158733885,26.2030240743068,1668.73333333333,22.7666666666667
1,0.44,0.44,1412.89540847123,26.1910678977711,1612.46666666667,23.06
1,0.45,0.45,1427.0292296036,26.1791117212355,1612.46666666667,23.06
1,0.46,0.46,1441.16305073597,26.1671555446998,1612.46666666667,23.06
1,0.47,0.47,1455.29687186835,26.1551993681642,1612.46666666667,23.06
1,0.48,0.48,1469.43069300072,26.1432431916286,1612.46666666667,23.06
1,0.49,0.49,1483.56451413309,26.1312870150929,1612.46666666667,23.06
1,0.5,0.5,1497.69833526547,26.1193308385573,1612.46666666667,23.06
1,0.51,0.51,1511.83215639784,26.1073746620216,1612.46666666667,23.06
1,0.52,0.52,1525.96597753021,26.095418485486,1501.93333333333,23.36
1,0.53,0.53,1540.09979866259,26.0834623089503,1501.93333333333,23.36
1,0.54,0.54,1554.23361979496,26.0715061324147,1501.93333333333,23.36
1,0.55,0.55,1568.36744092733,26.0595499558791,1517.8,23.76
1,0.56,0.56,1582.50126205971,26.0475937793434,1517.8,23.76
1,0.57,0.57,1596.63508319208,26.0356376028078,1517.8,23.76
1,0.58,0.58,1610.76890432445,26.0236814262721,1464.46666666667,24.1666666666667
1,0.59,0.59,1624.90272545683,26.0117252497365,1464.46666666667,24.1666666666667
1,0.6,0.6,1639.0365465892,25.9997690732008,1464.46666666667,24.1666666666667
1,0.61,0.61,1653.17036772157,25.9878128966652,1464.46666666667,24.1666666666667
1,0.62,0.62,1667.30418885395,25.9758567201296,1464.46666666667,24.1666666666667
1,0.63,0.63,1681.43800998632,25.9639005435939,1429.86666666667,24.9933333333333
1,0.64,0.64,1695.5718311187,25.9519443670583,1429.86666666667,24.9933333333333
1,0.65,0.65,1709.70565225107,25.9399881905226,1429.86666666667,24.9933333333333
1,0.66,0.66,1723.83947338344,25.928032013987,1528.4,25.1066666666667
1,0.67,0.67,1737.97329451582,25.9160758374514,1547.2,25.18
1,0.68,0.68,1752.10711564819,25.9041196609157,1650.46666666667,25.2466666666667
1,0.69,0.69,1766.24093678056,25.8921634843801,1650.46666666667,25.2466666666667
1,0.7,0.7,1780.37475791293,25.8802073078444,1650.46666666667,25.2466666666667
